Row ID,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
1,,,,no,,0,,,,121.9,,,,104,11.42,9.6,4,,1,0
2,,78,,,,,,,27.3,,,18.96,124,,,9.5,,,2,0
3,WA,,,no,,0,150.5,92,,,95,,,,,9,,,,0
4,,,408,no,yes,,50.6,62,,,,,146.8,,,,4,1.13,2,0
5,RI,,,no,,,211.9,110,36.02,,120,18.28,238.5,107,,,,,,0
6,UT,,,,,,,112,,260.5,,,233.8,,10.52,,3,,1,1
7,VT,97,415,no,,,112.7,,19.16,217.7,109,,,76,,,,1.76,,0
8,,,,no,,,183.2,,,126.8,,,263.3,,,,8,,,0
9,,62,,no,,,,,23.34,,,15.66,231.4,,10.41,,,2.75,0,0
10,AL,137,,no,no,0,104.7,,17.8,,,,,,8.65,8.9,2,,1,0
11,,64,,,,0,,,,232.4,,,,,,,2,3.67,1,0
12,,,,,no,0,,66,,179.3,104,15.24,225.1,116,10.13,12.3,1,,,0
13,WV,,415,,,,,,46.17,,,,136.3,108,,,,,,0
14,,127,,,yes,28,235.6,,40.05,236.8,,20.13,,127,,,2,,,0
15,,,,,no,,,83,,260.7,86,22.16,98.6,,,8.9,4,2.4,,0
16,WI,91,510,no,no,,,71,37.04,230.1,116,19.56,,,10.44,10.6,,,1,0
17,,,408,,no,0,269.2,,45.76,,,16.47,257.6,,11.59,8.9,,,3,1
18,SD,,,no,,0,,128,,293.1,92,,,79,,,6,2.65,0,1
19,WI,,,no,,,159.5,103,,,90,23.42,,,,10.1,,,,1
20,,144,415,,,,,,48.26,192,,,,85,,10,,2.7,1,0
21,,,,,no,0,,114,,,,,132.5,122,,,,,3,0
22,DC,141,,no,,,,87,,,128,,,107,,8,3,2.16,4,0
23,KS,91,,,,,,,,182,,,157.6,,,,2,,2,1
24,AZ,124,415,no,,,,,,,123,,,,,14,,3.78,0,0
25,,,,,,,,91,,,,16.62,,,10.05,,7,,1,0
26,,,408,no,,,123.8,113,,236.2,,20.08,73.2,,3.29,,2,,,0
27,,45,510,no,no,,,91,27.17,,,,,,7.34,,,2.86,,0
28,,,415,no,,,,92,35.87,217,,18.45,214.8,,,,7,,,0
29,,,,,,,,,,188.5,124,16.02,105.6,,,,,,,0
30,MS,,415,,,,101.4,,,159.1,119,,,,11.66,,,3.29,,0
31,,137,415,,,,,95,,134.1,102,11.4,,,,,2,3.32,,1
32,,,,,,,,,27.47,,,16.69,,,,13.8,2,,,0
33,,,408,,,0,106.1,95,,,113,,,69,8.66,8.1,,2.19,1,0
34,,,,,no,0,,92,9.32,,,14.71,,,8.78,,,,,0
35,IA,,415,,,0,,,,,,,226,100,10.17,,,,0,0
36,HI,72,,,,,109.1,,18.55,,,,295.8,84,,,,2.24,,0
